Unique_Name,Unique_RA,Unique_DEC,Name_RK,RAJ2000_RK,DEJ2000_RK, Type1_RK, Type2_RK, mag1_RK, Orb_Per_RK, Distance_RK, 5%_RK, 95%_RK, Name_DS, RAJ2000_DS, DEJ2000_DS, PM-RA_DS, PM-RAerr_DS, PM-Dec_DS, PM-Decerr_DS, Epoch_DS, l_DS, b_DS, Type_DS, Period_DS, Outburst_DS, Cluster_DS, Mag. Range_DS, Coord-Ref_DS, PM-Ref_DS, Type-Ref_DS, Chart-Ref_DS, Spect-Ref_DS, Period-Ref_DS, Other-Name_DS, IUE_DS, HST_DS, ARIEL5_DS, HEAO1_DS, HEAO2_DS, EXOSAT_DS, ROSAT_DS, GINGA_DS, ASCA_DS, EUVE_DS, Same_Name, Link_Name_SIMBAD, Link_Coord_SIMBAD
MACHO  17.2832.2606,04 57 42.21,-69 40 30.6, ,,, , , , , , , , Dor, 04 57 42.21, -69 40 30.6, , , , , ,281,-35, ugsu:, , , , -, 2004-48, , 2004-48, A9999-99, , , m17.2832.2606, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=04 57 42.21++-69 40 30.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
OGLE J050108.08-692813.0,05 01 07.98,-69 28 12.8, ,,, , , , , , , , Dor, 05 01 08.08, -69 28 13.0, , , , , ,281,-35, ugsu, , , , 18.3I-21.3I, 2003-09, , 2003-09, 2003-09, , , OGLE 050108-692813, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 01 08.08++-69 28 13.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
RX J0502.8+1624,05 02 50.9492670264,+16 24 21.841652258, ,,, , , , , , , , Tau4, 05 02 50.94, +16 24 22.0,34,15, -0.03,5,2000,185,-15, am, , , , 17.1V- , 2003-115, 2003-115, 2005-66, 1996-09, 1996-09S, , RX J0502.8+1624, , , , , , , Y, , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 02 50.94+++16 24 22.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
2MASS J05033846+2624046,05 03 38.470,+26 24 04.65, ,,, , , , , , , , HW Tau, 05 03 38.48, +26 24 03.6, , , , , , , , non-ex, , , , - , , , 2000-102*, , , , SVS 1023, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 03 38.48+++26 24 03.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
RX J0507.1-6743,05 07 12.1,-67 43 11, ,,, , , , , , , , Dor, 05 07 12.1, -67 43 11., , , , , ,278,-35, cv/cbss, , , , -, 1999-96, , 1999-96*, 1999-96*, , , RX J0507.1-6743, , , , , , , Y, , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 07 12.1++-67 43 11.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
UU Pic,05 14 25.56,-52 53 52.0, ,,, , , , , , , , UU Pic, 05 14 25.49, -52 53 52.2, , , , , ,260,-36, nl, , , , >19.5j-20.5j, ICRS, , 1994-11, 1994-11, 1994-11S, , Pic2,  V0514-5253, , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 14 25.49++-52 53 52.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA LMC 1926,05 14 58.0,-66 50 12, ,,, , , , , , , , RY Dor, 05 14 58., -66 50 12., , , , , ,277,-34, N, , 1926.69, , 12.4p-<18p, ICRS, , T00000, 1927-02*, , , HV 4004, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 14 58.++-66 50 12.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA LMC 1999,05 19 55.79,-70 27 53.4, ,,, , , , , , , , Men, 05 19 55.79, -70 27 53.4, , , , , ,281,-33, na, , 1999.2, , 12.0I-21.3I, 2003-09, , 2003-09*, 2003-09, , , OGLE 051955-702753, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 19 55.79++-70 27 53.4&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
IC  418,05 27 28.2060343141,-12 41 50.282659007, ,,, , , , , , , , ZZ Lep, 05 27 28.20, -12 41 50.3, -0.0012, 0.0017, 0.0025, 0.0018,2000,215,-24, nl:, , , , 9.8V-10.2V, 1998-90, 1998-90, 1997-39*, ABD, , , HD 35914, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 27 28.20++-12 41 50.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V650 Ori,05 31 08.8189310722,+09 45 27.476971716, ,,, , , , , , , , V650 Ori, 05 31 08.82, +09 45 27.7,-4,3,4,0,2000,195,-12, UG:, , , , 15.5p-<17.5p, 2003-115, 2003-115, T00000, 1967-03, 1998-03S*, , S 9560, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 31 08.82+++09 45 27.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
2MASS J05482289+2242014,05 48 22.9061138473,+22 42 01.675946700, ,,, , , , , , , , V421 Tau, 05 48 22.90, +22 42 02.0, , , , , , , , non-ex, , , , -, , , 2000-102*, , , , S 10491, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 48 22.90+++22 42 02.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Ori 1667,05 58 20.1459511355,+20 15 45.348138439, ,,, , , , , , , , V529 Ori, 05 58 20.18, +20 15 45.1, , , , , ,189,-2, n::, , 1667., , 6v-20.5p, ICRS, , 1987-08, 2000-28*, , , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05 58 20.18+++20 15 45.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
2MASS J06000201+7751311,06 00 02.0350456472,+77 51 31.359060967, ,,, , , , , , , , Cam1, 06 00 02.02, +77 51 31.0, , , , , ,136,24, cv:, , , , 18.5v- , ICRS, , 1995-12, A9999-99, , , FBS 0552+779, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 00 02.02+++77 51 31.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
[BTR99] J060033.2-270919,06 00 33.24,-27 09 18.4, ,,, , , , , , , , Lep, 06 00 33.30, -27 09 18.5, , , , , ,233,-22, am, , , , 19V- , ICRS, , 1999-12, A9999-99, 1999-12S:, , RXS J0600.5-2709, , , , , , , Y, , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 00 33.30++-27 09 18.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
HM Gem,06 03 09.0,+25 14 49, ,,, , , , , , , , HM Gem, 06 03 09., +25 14 49., , , , , ,185,1, UG:, , , , 16.5p-20.5p, ICRS*, , T00000, 1991-15, , , S 8466, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 03 09.+++25 14 49.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
LAWDS NGC 2168  53,06 07 33.8,+24 07 55, ,,, , , , , , , , Gem, 06 07 33.8, +24 07 55.2, , , , , ,187,2, ug:, , , O, 18.6V-21.1V, 2004-06*, , 2004-06, A9999-99*, , , NGC 2158 V57, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 07 33.8+++24 07 55.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NSV  2853,06 10 43.9692448262,+25 10 31.292234709, ,,, , , , , , , , Gem1, 06 10 43.97, +25 10 31.3, 0.0081, 0.0065, -0.0099, 0.0063,2000,186,3, nl/ug?, , , , 15.3p-15.9p, 2004-105, 2004-105, 1989-16, 1957-08*, , , NSV 2853, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 10 43.97+++25 10 31.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
HQ Gem,06 12 04.4,+25 28 34, ,,, , , , , , , , HQ Gem, 06 12 04.4, +25 28 34., , , , , ,186,3, UG:, , , , 16.5p-20p, ICRS, , T00000, 1964-01, , , S 8470, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 12 04.4+++25 28 34.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V552 Aur,06 14 09.8145366634,+45 30 08.507135280, ,,, , , , , , , , Aur2, 06 14 09.81, +45 30 08.5, 0.0048, 0.0056, -0.0148, 0.0056,2000,168,13, dq::, , , , 11.2p-14.5p, 2004-105, 2004-105, 2003-08*, 2003-08, , , NSV 2872, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 14 09.81+++45 30 08.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Mon 1942,06 25 18.46,+05 26 31.7, ,,, , , , , , , , KT Mon, 06 25 18.46, +05 26 31.7, , , , , ,205,-3, na/wz, , 1942.0, , 10.3p-<21 , C00003, , 2002-119, 1987-08:*, 1954-02X:, , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 25 18.46+++05 26 31.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
KN Gem,06 35 51.55,+26 52 58.0, ,,, , , , , , , , KN Gem, 06 35 51.55, +26 52 58.0, , , , , , , , non-ex, , , , -, , , 2005-14*, , , , AN 645.1936, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 35 51.55+++26 52 58.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
RX J0636.3+6554,06 36 22.8780733204,+65 54 15.003939973, ,,, , , , , , , , Cam, 06 36 22.84, +65 54 15.2,6,4,-8,1,2000,149,23, cv:, , , , 19.7V- , 2003-115, 2003-115, 1998-12, 1998-23*, 1998-12S:, , RX J0636.3+6554, , , , , , , Y, , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 36 22.84+++65 54 15.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
SY Gem,06 40 37.,+31 11 26., ,,, , , , , , , , SY Gem, 06 40 37., +31 11 26., , , , , ,184,11, n::, , 1857., , 9.2v-<13v, C00003, , 1987-08*, 1987-08*, , , BD +31 1380, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 40 37.+++31 11 26.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
AC2000 2654611,06 43 58.911,-20 52 33.10, ,,, , , , , , , , CMa, 06 43 58.9, -20 52 33., , , , , ,231,-11, cv/n:, , 1917., , 11.4p-19j, 2000-17, , 2000-17, A9999-99*, , , RX J0643-2052, , , , , , , Y, , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 43 58.9++-20 52 33.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
KT Gem,06 45 21.2058753589,+19 04 47.362964751, ,,, , , , , , , , KT Gem, 06 45 21.18, +19 04 47.3, , , , , ,195,7, UGSS, , , , 16p-20p, ICRS, , T00000, 1967-02, , , S 9775, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 45 21.18+++19 04 47.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
EQ Mon,06 57 37.1916828576,-09 48 02.824828263, ,,, , , , , , , , EQ Mon, 06 57 37.16, -09 48 03.4, , , , , , , , non-cv, , , , - , , , 1982-03*, , , , 92.1936, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 57 37.16++-09 48 03.4&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Gem 1892,06 58 45.0,+17 02 11, ,,, , , , , , , , Gem, 06 58 45., +17 02 11., , , , , ,198,9, n::, , 1892., , 7.0v-<14p, C00003, , 1987-08, 1987-08:*, , , NSV 3313, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=06 58 45.+++17 02 11.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
MV Gem,07 00 53.2287529110,+12 51 20.529688511, ,,, , , , , , , , MV Gem, 07 00 53.33, +12 51 20.6, , , , , , , , non-cv, , , , - , , , 1996-01*, , , , S 10220, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 00 53.33+++12 51 20.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V838 Mon,07 04 04.8222936785,-03 50 50.637499515, ,,, , , , , , , , V838 Mon, 07 04 04.85, -03 50 51.1, , , , , ,218,1, nc, , 2002.01, , 8.3v-, 2002-17, , 2002-17, 2002-82, 2002-17X:, , , , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 04 04.85++-03 50 51.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
EU CMa,07 05 40.28,-16 08 44.4, ,,, , , , , , , , EU CMa, 07 05 40.27, -16 08 43.8, , , , , ,229,-4, UG, , , , 16.5p-<19p, ICRS, , T00000, 1963-02*, , , S 7991, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 05 40.27++-16 08 43.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
CMi,07 10 05.,+02 56, ,,, , , , , , , , CMi, 07 10 05., +02 56 , , , , , ,212,5, nl?, , , , 10.6p-11.4p, 1946-01, , 1989-16, A9999-99*, , , NSV 3432, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 10 05.+++02 56 &CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
WY CMa,07 11 40.1688505775,-26 58 40.328935037, ,,, , , , , , , , WY CMa, 07 11 40.10, -26 58 40.0, , , , , , , , non-cv, , , , -, , , 2005-56*, , , , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 11 40.10++-26 58 40.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
WZ CMa,07 18 49.1938777958,-27 07 43.170467936, ,,, , , , , , , , WZ CMa, 07 18 49.19, -27 07 43.2, -0.0011, 0.0048, -0.0006, 0.0047,2000,240,-6, ugz:, , , , 14.5p-18.3V, 2004-105, 2004-105, 1982-03, 1982-03, 1995-07S, , HV 8080, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 18 49.19++-27 07 43.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
IN CMa,07 20 47.9110068282,-31 47 02.732886173, ,,, , , , , , , , IN CMa, 07 20 47.94, -31 47 03.4, , , , , , , , non-cv, , , , - , , , 1995-21*, , , , RE 0720-318, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 20 47.94++-31 47 03.4&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
HM Aur,07 29 06.8005808099,+40 40 57.623508548, ,,, , , , , , , , HM Aur, 07 29 06.76, +40 40 57.1, , , , , , , , non-cv, , , , - , , , 2000-35*, , , , BV 23, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 29 06.76+++40 40 57.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
CL Pup,07 30 02.18,-19 29 51.9, ,,, , , , , , , , CL Pup, 07 30 02.18, -19 29 51.9, , , , , , , , non-cv, , , , - , , , T00000*, , , , S 4069, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 30 02.18++-19 29 51.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
2MASS J07323341+7241408,07 32 33.4038117710,+72 41 40.845578908, ,,, , , , , , , , Cam2, 07 32 33.64, +72 41 42.6, , , , , , , , non-cv, , , , - , , , 1998-49*, , , , FBS 0726+728, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 32 33.64+++72 41 42.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
SDSS J074355.56+183834.8,07 43 55.56,+18 38 34.8, ,,, , , , , , , , Gem, 07 43 55.56, +18 38 34.8, , , , , ,202,20, ug, , , , 20.1g-21.3 , 2006-05, , 2006-05, A9999-99, 2006-05S, , SDSS J074355+183834, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 43 55.56+++18 38 34.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
2MASS J07471676+4248492,07 47 16.7981646356,+42 48 49.044882387, ,,, , , , , , , , Lyn, 07 47 16.80, +42 48 49.0, 0.00301, 0.0039, -0.00027, 0.00389,2000262,177,28, nl, , , , 17.1s-, 2006-22, 2006-22, 2002-05, A9999-99, 2002-05S, , SDSSp J074716+424849, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 47 16.80+++42 48 49.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
2MASS J07493723+8844290,07 49 37.6199480129,+88 44 28.847475268, ,,, , , , , , , , UMi, 07 49 38.33, +88 44 28.9,-2,1,4,0,2000,124,27, cv, , , , 15.0v- , 2003-115, 2003-115, 1996-18, A9999-99, , , FBS 0657+888, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 49 38.33+++88 44 28.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V716 Mon,07 52 43.6005213777,-10 42 45.344197669, ,,, , , , , , , , V716 Mon, 07 52 43.57, -10 42 46.1, , , , , , , , non-cv, , , , - , , , 1995-16*, , , , NSV 3775, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 52 43.57++-10 42 46.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Pup 1673,07 59 01,-43 49.1, ,,, , , , , , , , Pup, 07 59 01., -43 49 06., , , , , ,259,-7, n::, , 1673.03, , 3v-20p, C00003, , 1987-08, 1987-08*, , , NSV 3846, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 59 01.++-43 49 06.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
SBSS 0755+600,07 59 26.3928102943,+59 53 51.261372381, ,,, , , , , , , , Cam, 07 59 26.36, +59 53 51.6,-18,2,-4,3,2000,157,32, cv, , , , 17.5p-19.8V, 2003-115, 2003-115, 1998-28, A9999-99*, 1999-18S:, , SBS 0755+600, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 59 26.36+++59 53 51.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
SDSS J080142.37+210345.8,08 01 42.3598641923,+21 03 45.557722831, ,,, , , , , , , , Cnc, 08 01 42.37, +21 03 45.8, -0.00858, 0.0039, -0.02288, 0.00389,2003077,201,24, cv, , , , 18.8s-, 2006-22, 2006-22, 2005-32, A9999-99, 2005-32S, , SDSS J080142+210345, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 01 42.37+++21 03 45.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
L  242-83 A,08 02 00.1881009368,-53 27 50.821889322, ,,, , , , , , , , Car2, 08 02 00.18, -53 27 50.8,99, 0.0119, 0.0301, 0.0122,1998936,268,-12, nl, , , , 15.8p- , 2000-108, 2000-108, 1989-16, 1969-02, 1977-04S:, , BPM 18764, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 02 00.18++-53 27 50.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Gem 1856,08 07 47.0,+30 50 54, ,,, , , , , , , , VZ Gem, 08 07 47., +30 50 54., , , , , ,191,29, n::, , 1856., , 8.7v-<21 , C00003*, , 1987-08, 1987-08:*, , , BD +31 1736, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 07 47.+++30 50 54.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
SBSS 0804+563,08 08 55.3798543425,+56 15 03.407661100, ,,, , , , , , , , Lyn, 08 08 55.38, +56 15 02.5, , , , , , , , non-cv, , , , -, , , 2002-22*, , , , SBS 0804+563, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 08 55.38+++56 15 02.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
CD-48  3547,08 10 06.0741097949,-49 14 18.081413767, ,,, , , , , , , , Vel, 08 10 06.06, -49 14 18.1, , , , , , , , non-cv, , , , -, , , 2002-92*, , , , CPD -48 1517, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 10 06.06++-49 14 18.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
SDSS J082457.15+073702.4,08 24 57.15,+07 37 02.4, ,,, , , , , , , , Cnc, 08 24 57.15, +07 37 02.4, , , , , ,217,24, cv, , , , 18.6g-, 2006-05, , 2006-05, A9999-99, 2006-05S, , SDSS J082457+073702, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 24 57.15+++07 37 02.4&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
FBS B  974,08 32 45.6585452382,+73 37 07.746833827, ,,, , , , , , , , Cam3, 08 32 45.67, +73 37 07.9, , , , , , , , non-cv, , , , - , , , 2000-35*, , , , FBS 0827+738, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 32 45.67+++73 37 07.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
DE Cnc,08 35 27.2344421450,+19 45 30.634247066, ,,, , , , , , , , DE Cnc, 08 35 27.25, +19 45 30.6, , , , , ,205,31, UG, , , , 14.6p-18.0V, ICRS, , T00000, 1977-06, 1998-03S*, , S 10803, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 35 27.25+++19 45 30.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
BB Vel,08 36 49.32,-47 22 37.4, ,,, , , , , , , , BB Vel, 08 36 49., -47 22 39., , , , , ,265,-4, ug, , , , 13.8v-17.9V, ICRS, , 1984-06, 1982-03*, 1995-07S, , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 36 49.++-47 22 39.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
AA Cnc,08 37 23.11,+26 12 28.7, ,,, , , , , , , , AA Cnc, 08 37 23.11, +26 12 28.7, , , , , , , , non-cv, , , , - , , , 1982-03*, , , , G 40-31, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=08 37 23.11+++26 12 28.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
