Unique_Name,Unique_RA,Unique_DEC,Name_RK,RAJ2000_RK,DEJ2000_RK, Type1_RK, Type2_RK, mag1_RK, Orb_Per_RK, Distance_RK, 5%_RK, 95%_RK, Name_DS, RAJ2000_DS, DEJ2000_DS, PM-RA_DS, PM-RAerr_DS, PM-Dec_DS, PM-Decerr_DS, Epoch_DS, l_DS, b_DS, Type_DS, Period_DS, Outburst_DS, Cluster_DS, Mag. Range_DS, Coord-Ref_DS, PM-Ref_DS, Type-Ref_DS, Chart-Ref_DS, Spect-Ref_DS, Period-Ref_DS, Other-Name_DS, IUE_DS, HST_DS, ARIEL5_DS, HEAO1_DS, HEAO2_DS, EXOSAT_DS, ROSAT_DS, GINGA_DS, ASCA_DS, EUVE_DS, Same_Name, Link_Name_SIMBAD, Link_Coord_SIMBAD
NOVA Aql 1993,19 13 06.80,+01 34 23.3, ,,, , , , , , , , V1419 Aql, 19 13 06.80, +01 34 23.3, , , , , ,37,-4, na, , 1993.37, , 7.6p-<22r, 1993-17, , 1993-07, 1998-77, 1993-07X, , , , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 13 06.80+++01 34 23.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
PN K  3-25,19 13 33.6917939901,+02 18 13.044567019, ,,, , , , , , , , V352 Aql, 19 13 33.75, +02 18 13.2, , , , , , , , non-cv, , , , - , , , 1967-09*, , , , PK 37-3 3, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 13 33.75+++02 18 13.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NSV 11855,19 15 54.69,-00 14 44.7, ,,, , , , , , , , Aql3, 19 15 54.72, -00 14 43.2, , , , , , , , non-ex, , , , -, , , 2005-47*, , , , NSV 11855, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 15 54.72++-00 14 43.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V1378 Aql,19 16 35.35,+03 43 19.3, ,,, , , , , , , , V1378 Aql, 19 16 35.35, +03 43 19.3, , , , , ,39,-4, n, , 1984.92, , 10p-21p, C00002, , 1987-08, 1987-08, 1984-08X:, , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 16 35.35+++03 43 19.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V356 Aql,19 17 13.53,+01 43 22.1, ,,, , , , , , , , V356 Aql, 19 17 13.71, +01 43 21.7, , , , , ,37,-5, nb, , 1936.72, , 7.7p-18.3V, ICRS, , 1987-08, 1987-08, 1996-14S, , 618.1936, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 17 13.71+++01 43 21.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V1301 Aql,19 17 55.20,+04 47 18.3, ,,, , , , , , , , V1301 Aql, 19 17 55.20, +04 47 18.3, , , , , ,40,-3, na, , 1975.42, , 10.3v-21p, C00002, , 1987-08, 1987-08, 1975-03X:, , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 17 55.20+++04 47 18.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
PN A66   58,19 18 20.476,+01 46 59.62, ,,, , , , , , , , V605 Aql, 19 18 20.44, +01 46 59.5, , , , , , , , non-cv, , , , -, , , 1997-40*, , , , 7.1920, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 18 20.44+++01 46 59.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V1336 Aql,19 18 41.8682712388,-05 14 11.663910908, ,,, , , , , , , , V1336 Aql, 19 18 41.88, -05 14 11.4, , , , , , , , non-cv, , , , -, , , 2002-72*, , , , SVS 2270, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 18 41.88++-05 14 11.4&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V528 Aql,19 19 18.97,+00 37 53.8, ,,, , , , , , , , V528 Aql, 19 19 19.12, +00 37 52.3,4,11,-18,6,2000,37,-5, na, , 1945.65, , 7.0p-19.2B, 2003-115, 2003-115, 1987-08, 1987-08*, 1945-01X:, , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 19 19.12+++00 37 52.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
HD 181419,19 20 24.3,-00 08 07, ,,, , , , , , , , V606 Aql, 19 20 24.3, -00 08 07., , , , , ,36,-6, na, , 1899.3, , 6.7p-17.3p, ICRS, , 1987-08, 1987-08*, 1987-08X:, , BD -0 3708a, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 20 24.3++-00 08 07.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V730 Sgr,19 23 00.9749153255,-28 29 37.482207538, ,,, , , , , , , , V730 Sgr, 19 23 00.98, -28 29 37.5, -0.0034, 0.0107, -0.0085, 0.0107,1999389,10,-19, ug, , , , 12.8p-<17.5p, 2000-108, 2000-108, 1998-21, 1998-21, 1988-09S, , vG 36/HV 9622, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 23 00.98++-28 29 37.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
