V729 Sgr,  19 16 49.2,  -26 14 33,  V729 Sgr,  19 16 49.10,  -26 14 33.7
V849 Oph,  18 14 07.3,  +11 36 43,  V849 Oph,  18 14 07.29,  +11 36 42.5
V405 Aur,  05 57 59.3,  +53 53 45,  V405 Aur,  05 57 59.27,  +53 53 45.1
FO Per,  04 08 35.0,  +51 14 48,  FO Per,  04 08 34.99,  +51 14 48.3
V516 Cyg,  20 47 09.8,  +41 55 27,  V516 Cyg,  20 47 09.78,  +41 55 26.5
LZ Mus,  11 56 09.0,  -65 34 21,  LZ Mus,  11 56 08.96,  -65 34 20.7
VW Vul,  20 57 45.1,  +25 30 26,  VW Vul,  20 57 45.07,  +25 30 25.7
DO Aql,  19 31 25.9,  -06 25 38,  DO Aql,  19 31 25.87,  -06 25 38.1
DO Dra,  11 43 38.3,  +71 41 20,  DO Dra,  11 43 38.50,  +71 41 20.7
AM Cas,  02 26 23.4,  +71 18 32,  AM Cas,  02 26 23.45,  +71 18 31.4
V1193 Ori,  05 16 26.7,  -00 12 14,  V1193 Ori,  05 16 26.67,  -00 12 14.3
V1776 Cyg,  20 23 30.5,  +46 31 30,  V1776 Cyg,  20 23 30.51,  +46 31 29.5
X  Leo,  09 51 01.5,  +11 52 31,  X Leo,  09 51 01.46,  +11 52 31.3
V842 Cen,  14 35 52.6,  -57 37 35,  V842 Cen,  14 35 52.55,  -57 37 35.3
UU Aqr,  22 09 05.7,  -03 46 18,  UU Aqr,  22 09 05.76,  -03 46 17.7
UU Aql,  19 57 18.7,  -09 19 21,  UU Aql,  19 57 18.76,  -09 19 20.9
CN Ori,  05 52 07.8,  -05 25 01,  CN Ori,  05 52 07.79,  -05 25 00.5
AR And,  01 45 03.3,  +37 56 33,  AR And,  01 45 03.28,  +37 56 32.7
KR Aur,  06 15 43.9,  +28 35 09,  KR Aur,  06 15 43.94,  +28 35 08.4
KT Per,  01 37 08.7,  +50 57 20,  KT Per,  01 37 08.79,  +50 57 20.4
CM Del,  20 24 56.9,  +17 17 54,  CM Del,  20 24 56.92,  +17 17 55.1
V367 Peg,  22 45 00.7,  +16 55 14,  V367 Peg,  22 45 00.71,  +16 55 14.0
VZ Aqr,  21 30 24.6,  -02 59 18,  VZ Aqr,  21 30 24.64,  -02 59 17.1
V4077 Sgr,  18 34 39.4,  -26 26 03,  V4077 Sgr,  18 34 39.41,  -26 26 02.9
CY Lyr,  18 52 41.4,  +26 45 30,  CY Lyr,  18 52 41.38,  +26 45 31.5
