GCVS-Name	RA(2000)	Dec(2000)	PM-RA	PM-RAerr	PM-Dec	PM-Decerr	Epoch	l	b	Type	Period	Outburst	Cluster	Mag. Range	Coord-Ref.	PM-Ref	Type-Ref.	Chart-Ref.	Spect-Ref.	Period-Ref.	Other-Name	IUE	HST	ARIEL5	HEAO1	HEAO2	EXOSAT	ROSAT	GINGA	ASCA	EUVE
EF Tuc,  00 06,  -67 07 43.3,  0.0128,  0.0058,  -0.0047,  0.0058,  2000,  310,  -49,  ug,  145,  ,  ,  12.4I-14.6I,  2004-105,  2004-105,  2002-120,  A9999-99,  2001-56S,  2003-87,  1RXS J0001-6707,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
Tuc,  00 24 10.05,  -72 04 51.6,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  17.6V- ,  1997-44*,  ,  1996-26,  ,  ,  ,  NGC 104 Edmonds V5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 11.63,  -72 06 19.9,  ,  ,  ,  ,  ,  306,  -45,  cv,  ,  ,  G,  22.7V-,  2003-78,  ,  2003-78,  A9999-99,  ,  *,  NGC 104-W120,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 14.80,  -72 04 44.1,  ,  ,  ,  ,  ,  306,  -45,  cv,  ,  ,  G,  23.3V-,  2003-78,  ,  2003-78,  2003-78,  ,  ,  NGC 104-W70,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 14.84,  -72 05 58.2,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  17.7V-,  2001-111*,  ,  2001-111,  2002-91,  ,  ,  NGC 104 WF4-V26,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 52.55,  -72 04 27.1,  ,  ,  ,  ,  ,  306,  -45,  cv,  0.2405,  ,  G,  20.4V-,  2003-78,  ,  2003-78,  A9999-99*,  ,  2003-79,  NGC 104-W1,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Psc3,  00 24 52.88,  -01 53 35.4,  0.0019,  6,  -0.0062,  0.0056,  2000,  108,  -64,  ug:,  ,  ,  ,  15p- ,  2004-105,  2004-105,  1988-07,  1988-07,  1988-07S,  ,  NSV 15086,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Psc,  00 26 03.80,  +12 17 12.1,  -67,  ,  -43,  ,  2004.71,  113,  -50,  ugwz,  ,  ,  ,  10.5V-17.5B,  2004-110,  2004-110,  2006-09,  2004-63,  2006-09S,  *,  ASAS J002511+1217.2,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
PX And,  00 31 35.89,  +26 17 26.5,  -11,  0.0027,  -0.0112,  0.0026,  2000,  117,  -36,  nl/vy,  0.146353,  ,  ,  15.0V-17.0V,  2004-105,  2004-105,  1992-32/1994-49,  1982-06,  1991-02S,  2002-131,  And1,   PG 0027+260,  Y,  ,  ,  ,  ,  Y,  Y,  ,  ,  
HQ And,  00 32 10.21,  +43 49 05.5,  -0.0004,  0.0054,  0.0012,  0.0063,  2000,  119,  -19,  cv,  ,  ,  ,  15.0p-16.2p,  2004-105,  2004-105,  1980-05,  1975-05,  1999-08S,  ,  S 10774,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
LS And,  00 32 23.1,  +41 58 10.4,  ,  ,  ,  ,  ,  119,  -21,  na:,  ,  1971.65,  ,  11.7p-20.5p,  ICRS*,  ,  1987-08,  1987-08,  ,  ,  NSV 191,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
And,  00 33 34.39,  +25 48 21.,  ,  ,  ,  ,  ,  118,  -37,  n::,  ,  1974.,  ,  9.5p-15.p,  C00005,  ,  T00003,  A9999-99*,  ,  ,  NSV 15112,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cet6,  00 33 43.57,  -19 21 33.7,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  2000-01*,  ,  ,  ,  KUV 00311-1938,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cet,  00 34 01.,  -28 12 43.2,  ,  ,  ,  ,  ,  16,  -86,  cv:,  ,  ,  ,  20.6b-,  2004-77,  ,  2004-77,  2004-77,  2004-77S,  ,  2QZ J003343.5-281243,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
VZ Tuc,  00 34 01.74,  -73 16 16.2,  ,  ,  ,  ,  ,  305,  -44,  NA,  ,  1927.96,  ,  11.4p-<18p,  ICRS,  ,  T00000,  1991-12*,  ,  ,  HV 6334,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cet,  00 34 48.,  -28 08 18.0,  22,  14,  0.03,  2,  2000,  17,  -86,  cv:,  ,  ,  ,  20.5b-,  2003-115,  2003-115,  2004-77,  2004-77,  2004-77S,  ,  2QZ J003401.7-280819,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Psc,  00 35 24.29,  +10 18 00.,  ,  ,  ,  ,  ,  ,  ,  non-ex,  ,  1907.,  ,  - ,  ,  ,  T00001*,  ,  ,  ,  NSV 206,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
LT And,  00 37 50.3,  +39 46 17.2,  ,  ,  ,  ,  ,  120,  -23,  UG,  ,  ,  ,  18.1B-19.4B,  ICRS*,  ,  T00000,  1970-01,  ,  ,  M31 V0011,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
And,  00 38 47.6,  +41 21 12.,  ,  ,  ,  ,  ,  120,  -21,  N:,  ,  1965.60,  ,  19.6B- ,  1995-42,  ,  1995-42*,  1971-02*,  ,  ,  S 10754,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
HV And,  00 41 23.68,  +43 24 59.4,  0.0112,  5,  -0.0111,  5,  2000,  121,  -19,  nl,  0.05599,  ,  ,  15.2B-16.8B,  1987-28,  1987-28,  1995-41,  1975-05,  1992-09S,  1985-22,  S 10777,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
And,  00 41 40.92,  +41 15 00.4,  ,  ,  ,  ,  ,  121,  -22,  UG:,  ,  1966.,  ,  16.4p- ,  1995-42,  ,  1995-42*,  1973-04*,  ,  ,  Rosino N 66,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
LL And,  00 42 57.17,  +26 37 21.3,  6,  1,  -0.01,  3,  2000,  120,  -36,  ugsu,  0.055055,  ,  ,  13.8V-20.0V,  2003-115,  2003-115,  1994-33,  1996-13,  1996-13X,  2003-81,  ,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 42 57.64,  -73 22 52.3,  ,  ,  ,  ,  ,  304,  -44,  ug:,  ,  ,  ,  18.2I-20.7I,  2003-09,  ,  2003-09,  ,  ,  ,  OGLE 004257-732252,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
And,  00 43 06.4,  +41 08 11.9,  ,  ,  ,  ,  ,  121,  -22,  UG:,  ,  1963.,  ,  17.8p- ,  1995-42,  ,  1995-42*,  1973-04*,  ,  ,  Rosino N 48,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
And,  00 43 08.61,  +41 30 13.4,  ,  ,  ,  ,  ,  121,  -21,  ugz:,  ,  ,  ,  18.2V-<23.0V,  2003-58,  ,  2003-58,  2003-58*,  ,  ,  D31J04306.4+413013,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cet,  00 44 01.35,  -00 37 29.8,  0.0268,  0.0039,  0.01132,  0.0039,  2001786,  119,  -63,  cv,  ,  ,  ,  19.8s-,  2006-22,  2006-22,  2004-45,  A9999-99,  2004-45S,  *,  SDSS J004335-003729,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BL Psc,  00 48 19.03,  +09 32 58.3,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1995-28*,  ,  ,  ,  RE 0044+093,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
GX Cas,  00 49 56.,  +56 52 44.1,  0.0122,  5,  -0.0067,  5,  2000,  123,  -5,  ugsu,  89,  ,  ,  13.3V-18.5V,  2004-106,  2004-106,  1994-39,  1957-02,  2000-01S,  2003-81,  S 3330,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
And,  00 50 01.,  +43 37 45.,  ,  ,  ,  ,  ,  123,  -19,  N:,  ,  1971.,  ,  16.5B-21B,  C00001,  ,  T00001*,  1973-05*,  ,  ,  NSV 312,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cet,  00 51 26.97,  +00 09 12.7,  -0.00992,  0.0039,  -0.01298,  0.00389,  2002677,  123,  -63,  cv,  ,  ,  ,  20.4s-,  2006-22,  2006-22,  2005-32,  A9999-99,  2005-32S,  ,  SDSS J005050+000912,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
V452 Cas,  00 53 40.13,  +53 51 50.1,  ,  ,  ,  ,  ,  123,  -9,  ugsu,  ,  ,  ,  14.5V-18.7V,  ICRS,  ,  1999-54,  1996-36*,  2000-01S,  *,  S 10453,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Psc1,  00 57 18.12,  +17 09 43.7,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1994-49*,  ,  ,  ,  PG 0051+169,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 59 28.43,  -72 42 35.0,  ,  ,  ,  ,  ,  302,  -44,  n/z and,  ,  ,  ,  15.5I-21.0I,  2003-09,  ,  2003-09,  ,  ,  ,  OGLE 005718-724235,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
V723 Cas,  01 07 03.88,  +54 00 40.5,  ,  ,  ,  ,  ,  125,  -9,  nb,  0.693265,  1995.65,  ,  7.1V-<18V,  1995-25,  ,  1995-25,  1998-77,  1998-16X,  2002-128,  ,  Y,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
IZ And,  01 09 34.83,  +42 43 12.3,  ,  ,  ,  ,  ,  126,  -20,  UG,  ,  ,  ,  15.6p-20.5p,  ICRS,  ,  T00000,  1975-05,  ,  ,  S 10794,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cet7,  01 09 46.19,  -08 00 33.2,  -12,  2,  -2,  6,  2000,  136,  -70,  nl:,  ,  ,  ,  15p- ,  2003-115,  2003-115,  1988-07,  1988-07,  1988-07S,  ,  FBS 0107-082,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
