Name, RAJ2000, DEJ2000, Type1, Type2, mag1, Orb.Per, Distance, 5%, 95%
J0507+1253, 05 07 16.2, +12 53 15, DN, SU, 20.51, 0.064000, 2820.37, 1995.99, 4564.28
J1127-2822, 11 27 26.0, -28 22 12, DN, SU, 20.30, 0.064000, 3149.62, 2534.74, 4716.14
J1442-2250, 14 42 52.0, -22 50 39, DN, SU,  nan, 0.064000, nan, nan, nan
J1604+1456, 16 04 10.6, +14 56 19, DN, SU,  nan, 0.064000, nan, nan, nan
J1703+6607, 17 03 43.0, +66 07 45, DN, SU,  nan, 0.064000, nan, nan, nan
J2144+2220, 21 44 26.4, +22 20 25, DN, SU, 17.44, 0.064000, 5566.18, 2117.33, 4149.07
J0945+2922, 09 45 58.2, +29 22 53, DN, SU, 17.13, 0.064000, 1072.15, 218.03, 366.72
J1944-4202, 19 44 27.8, -42 02 09, NL,   , 19.06, 0.063900, 552.44, 173.61, 526.57
J1817-2508, 18 17 22.2, -25 08 43, NL, AM, 19.93, 0.063850, 622.63, 262.01, 1908.54
J1312+1736, 13 12 23.5, +17 37 00, NL, IP, 16.91, 0.063800, -13.08, 0.02, 0.01
QZ Aqr, 21 31 22.4, -00 39 37, DN, SU, 18.88, 0.063300, 190.20, 17.90, 22.28
J1321+5609, 13 21 04.0, +56 09 58, DN, SU, 16.26, 0.063275, 5624.34, 1744.30, 3283.37
J1440+4947, 14 40 11.0, +49 47 34, NL, AM, 17.24, 0.063235, 832.88, 73.92, 96.91
J0248+5012, 02 48 48.1, +50 12 39, DN, SU, 16.86, 0.063090, 138.47, 4.10, 4.51
J0600+1426, 06 00 10.0, +14 26 13, DN, SU,  nan, 0.063000, nan, nan, nan
J0729+5938, 07 29 48.6, +59 38 25, DN, SU, 20.01, 0.063000, 2660.41, 1937.94, 4606.27
J0734+2713, 07 34 18.7, +27 13 09, DN, SU, 19.00, 0.063000, 450.08, 132.77, 367.94
J1400+5723, 14 00 38.0, +57 23 41, DN, SU, 19.75, 0.063000, -2.68, 0.01, 0.01
J1411+2620, 14 11 43.5, +26 20 52, DN, SU, 18.88, 0.063000, 602.06, 131.30, 233.20
J1519-2440, 15 19 29.6, -24 40 01, DN, SU,  nan, 0.063000, nan, nan, nan
J0333-4451, 03 33 20.6, -44 51 42, DN, SU, 18.44, 0.062880, 4507.59, 2033.27, 3956.30
J1057+2759, 10 57 54.2, +27 59 48, DN,   , 17.82, 0.062860, 569.09, 51.43, 63.00
J1631+1031, 16 31 20.9, +10 31 34, DN, SU, 18.21, 0.062700, 528.15, 85.36, 135.29
J1300+1151, 13 00 30.3, +11 51 01, DN, SU, 18.52, 0.062700, 501.00, 42.67, 52.48
J0257+3337, 02 57 37.7, +33 37 51, NL, AM, 17.26, 0.062557, 161.91, 3.39, 3.48
SY Cap, 20 29 47.5, -15 54 38, DN, SU, 16.32, 0.062501, 157.27, 2.55, 2.63
J1325+2100, 13 25 36.1, +21 00 37, NL, AM, 18.63, 0.062363, 315.49, 43.53, 62.36
J0301+4011, 03 01 28.8, +40 11 05, DN, SU, 19.85, 0.062000, 2030.88, 1226.06, 4082.64
J0754+3132, 07 54 14.5, +31 32 16, DN, SU,  nan, 0.062000, nan, nan, nan
J1107-6108, 11 07 20.6, -61 08 33, DN, SU, 19.78, 0.062000, 2570.61, 1800.19, 4606.94
J1202-4541, 12 02 51.6, -45 41 16, DN, SU, 15.52, 0.062000, 3172.10, 471.17, 630.94
J1239-4716, 12 39 56.2, -47 16 24, DN, SU, 18.99, 0.062000, 468.98, 73.89, 113.27
J1917-5657, 19 17 56.8, -56 57 58, DN, SU, 19.47, 0.062000, 458.72, 113.39, 208.48
J2032+0305, 20 32 37.5, +03 05 25, DN, SU,  nan, 0.062000, nan, nan, nan
J2120+1941, 21 20 25.2, +19 41 57, DN, SU,  nan, 0.062000, nan, nan, nan
J1832-1001, 18 32 51.6, -10 01 05, NL, AM, 19.15, 0.061832, 218.01, 17.57, 21.68
J1514+0744, 15 14 15.7, +07 44 47, DN, SU, 19.01, 0.061650, 361.47, 54.59, 74.04
V379 Vir, 12 12 09.3, +01 36 28, DN, SU, 17.72, 0.061430, 623.51, 93.07, 122.10
J0332+0204, 03 32 31.9, +02 04 39, Na, SH, 15.06, 0.061264, 813.44, 21.80, 23.95
J1537-2440, 15 37 56.9, -24 40 14, DN, SU, 19.25, 0.061159, 348.00, 51.18, 73.93
J0141+0908, 01 41 50.4, +09 08 22, DN, SU,  nan, 0.061010, nan, nan, nan
J0157+5110, 01 57 46.1, +51 10 24, DN, SU, 20.05, 0.061000, 3171.50, 2255.45, 4862.54
J0243-1603, 02 43 54.1, -16 03 14, DN, SU, 20.12, 0.061000, 3342.73, 2408.54, 4841.38
J0439+4242, 04 39 15.5, +42 42 33, DN, SU, 20.34, 0.061000, 698.81, 369.80, 3530.85
J0449+3605, 04 49 32.3, +36 05 14, DN, SU,  nan, 0.061000, nan, nan, nan
J0506-1659, 05 06 59.2, -16 59 32, DN, SU,  nan, 0.061000, nan, nan, nan
J0559-5125, 05 59 24.1, -51 25 22, DN, SU, 18.66, 0.061000, 599.54, 115.41, 181.28
J0643+7410, 06 43 35.1, +74 10 15, DN, SU,  nan, 0.061000, nan, nan, nan
J0907-1042, 09 07 05.4, -10 42 45, DN, SU, 20.73, 0.061000, 3496.15, 2411.35, 4822.17
J1015+0333, 10 15 45.5, +03 33 13, DN, SU,  nan, 0.061000, nan, nan, nan
J1038-3654, 10 38 59.9, -36 54 42, DN, SU, 17.78, 0.061000, 2062.24, 780.63, 2104.83
J1623+6500, 16 23 14.4, +65 00 38, DN, SU,  nan, 0.061000, nan, nan, nan
J1822+3249, 18 22 01.9, +32 49 08, DN, SU,  nan, 0.061000, nan, nan, nan
J2009-6326, 20 09 24.1, -63 26 23, DN, SU,  nan, 0.061000, nan, nan, nan
J2031+5119, 20 31 55.1, +51 19 39, DN, SU, 20.42, 0.061000, 2670.52, 2096.69, 4732.35
J1751-2936, 17 51 19.4, -29 36 59, DN, SU, 19.99, 0.060900, 316.11, 82.85, 179.71
J2037+5522, 20 37 49.3, +55 22 10, NL, AM, 17.46, 0.060900, 5821.45, 2397.62, 4798.61
J1853-0128, 18 53 30.7, -01 28 16, DN, SU, 18.89, 0.060600, 622.38, 115.23, 185.94
J0813-0103, 08 13 18.5, -01 03 28, DN, SU, 18.85, 0.060350, 3989.64, 2027.61, 4562.57
KK Cnc, 08 07 14.3, +11 38 13, DN, SU,  nan, 0.060000, nan, nan, nan
J0019+4649, 00 19 52.3, +46 49 33, DN, SU,  nan, 0.060000, nan, nan, nan
