 FI Cas, 00 06 09.96, +55 58 50.7,-21,5, -0.0048,5,2000,117,-6, ugSS, , , , 15.0p-18.5p, 2004-106, 2004-106, 1987-04/T00000, 1987-04, 2000-01S, , 230.1940, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 06 09.96+++55 58 50.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 10.03, -72 04 51.6, , , , , ,306,-45, cv:, , , G, 17.6V- , 1997-44*, , 1996-26, , , , NGC 104 Edmonds V5, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 10.03++-72 04 51.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 10.05, -72 04 41.2, , , , , ,306,-45, cv:, , , G, -, 2005-25, , 2005-25*, , , , NGC 104-W10, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 10.05++-72 04 41.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 11.63, -72 04 44.1, , , , , ,306,-45, cv, , , G, 23.3V-, 2003-78, , 2003-78, 2003-78, , , NGC 104-W70, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 11.63++-72 04 44.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 14.80, -72 05 58.2, , , , , ,306,-45, cv:, , , G, 17.7V-, 2001-111*, , 2001-111, 2002-91, , , NGC 104 WF4-V26, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 14.80++-72 05 58.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 14.84, -72 03 44.8, , , , , ,306,-45, cv:, , , G, 21.3V-, 2001-111, , 2001-111, 2002-91, , , NGC 104 WF2-V30, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 14.84++-72 03 44.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Psc3, 00 24 52.55, -01 53 35.4, 0.0019,6, -0.0062, 0.0056,2000,108,-64, ug:, , , , 15p- , 2004-105, 2004-105, 1988-07, 1988-07, 1988-07S, , NSV 15086, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 52.55++-01 53 35.4&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 52.88, -72 03 27., , , , , ,306,-45, cv:, , , G, 20.2V-, 1998-53, , 1998-53, 1998-53*, , , NGC 104-B7, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 52.88++-72 03 27.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Cet, 00 26 03.80, -09 30 21.0,-7, 0.00574,-5, 0.00574,2000736,103,-71, nl, , , , 20.2g-, 2006-05, 2006-22, 2006-05, A9999-99, 2006-05S, , SDSS J002603-093021, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 26 03.80++-09 30 21.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 HQ And, 00 31 35.89, +43 49 05.5, -0.0004, 0.0054, 0.0012, 0.0063,2000,119,-19, cv, , , , 15.0p-16.2p, 2004-105, 2004-105, 1980-05, 1975-05, 1999-08S, , S 10774, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 31 35.89+++43 49 05.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 LS And, 00 32 10.21, +41 58 10.4, , , , , ,119,-21, na:, , 1971.65, , 11.7p-20.5p, ICRS*, , 1987-08, 1987-08, , , NSV 191, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 32 10.21+++41 58 10.4&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
